Binder1,1001__mALb8x1_fdrtc_A,1001__mALb8x1_fdrtc_B,1002__mALb8x1_rprtc_A,1002__mALb8x1_rprtc_B,1003__mALb8x2_fdrtc_A,1003__mALb8x2_fdrtc_B,1004__mALb8x2_rprtc_A,1004__mALb8x2_rprtc_B,1005__mALb8x12_fdrtc_A,1005__mALb8x12_fdrtc_B,1006__mALb8x12_rprtc_A,1006__mALb8x12_rprtc_B,1007__mALb8x12j_fdrtc_A,1007__mALb8x12j_fdrtc_B,1008__mALb8x12j_rprtc_A,1008__mALb8x12j_rprtc_B,1009__IL8_2H_A,1009__IL8_2H_B,1010__IL9_2H_A,1010__IL9_2H_B,1011__IL14_2H_A,1011__IL14_2H_B,1012__IL8_2Hx1_A,1012__IL8_2Hx1_B,1013__IL9_2Hx1_A,1013__IL9_2Hx1_B,1014__IL9_2Hx2_A,1014__IL9_2Hx2_B,1015__IL9_2Hx12j_A,1015__IL9_2Hx12j_B,1016__IL14_2Hx1_A,1016__IL14_2Hx1_B,1017__IL14_2Hx2_A,1017__IL14_2Hx2_B,1018__BW1_2H_A,1018__BW1_2H_B,1019__BW2_2H_A,1019__BW2_2H_B,1020__BW3_2H_A,1020__BW3_2H_B,1021__BW5_2H_A,1021__BW5_2H_B,1022__BW8_2H_A,1022__BW8_2H_B,1023__BW9_2H_A,1023__BW9_2H_B,1024__BW11_2H_A,1024__BW11_2H_B,1025__BW5_2Hx1_A,1025__BW5_2Hx1_B,1026__BW5_2Hx2_A,1026__BW5_2Hx2_B,1027__BW5_2Hx12j_A,1027__BW5_2Hx12j_B,1028__BW8_2Hx1_A,1028__BW8_2Hx1_B,1029__BW8_2Hx2_A,1029__BW8_2Hx2_B,1030__BW8_2Hx12j_A,1030__BW8_2Hx12j_B,1031__BW11_2Hx1_A,1031__BW11_2Hx1_B,1032__BW11_2Hx2_A,1032__BW11_2Hx2_B,1033__BW11_2Hx12j_A,1033__BW11_2Hx12j_B,1034__BW1_2Hx1_A,1034__BW1_2Hx1_B,1035__BW2_2Hx1_A,1035__BW2_2Hx1_B,1036__BW3_2Hx1_A,1036__BW3_2Hx1_B,1037__BW9_2Hx1_A,1037__BW9_2Hx1_B,Jerala_P1,Jerala_P10,Jerala_P11,Jerala_P12,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9
1001__mALb8x1_fdrtc_A,,1046.0,985.0,745.0,1255.0,638.0,1044.0,926.0,1344.0,1305.0,622.0,126.0,623.0,470.0,1071.0,945.0,257.0,541.0,999.0,778.0,2159.0,467.0,374.0,1786.0,1325.0,1296.0,599.0,117.0,2416.0,2257.0,2215.0,1284.0,1046.0,603.0,763.0,434.0,948.0,1743.0,452.0,988.0,2295.0,1354.0,1951.0,772.0,934.0,2086.0,1092.0,536.0,560.0,999.0,1226.0,1155.0,994.0,694.0,486.0,766.0,1003.0,297.0,903.0,867.0,273.0,659.0,1.0,1451.0,877.0,1341.0,1328.0,711.0,870.0,742.0,1414.0,613.0,1443.0,455.0,514.0,1140.0,191.0,129.0,1097.0,530.0,306.0,921.0,473.0,175.0,1230.0,541.0
1001__mALb8x1_fdrtc_B,951.0,,1632.0,6044.0,2302.0,1905.0,4582.0,2357.0,1448.0,2227.0,1234.0,267.0,1604.0,1809.0,1982.0,3718.0,676.0,2103.0,3098.0,2668.0,4596.0,2933.0,1490.0,2357.0,2479.0,4131.0,2314.0,330.0,7489.0,2691.0,4884.0,2071.0,2714.0,1897.0,1591.0,1975.0,2297.0,3463.0,1777.0,1768.0,2731.0,3332.0,3378.0,2707.0,3262.0,2681.0,2670.0,562.0,2835.0,5054.0,1780.0,2439.0,3412.0,1185.0,1288.0,2606.0,3765.0,2251.0,1871.0,2343.0,1261.0,196.0,14.0,1691.0,293.0,2684.0,2479.0,1586.0,3257.0,3049.0,2998.0,861.0,2821.0,790.0,448.0,1861.0,950.0,1207.0,2032.0,743.0,2003.0,2500.0,1235.0,395.0,1327.0,2143.0
1002__mALb8x1_rprtc_A,2411.0,1230.0,774.0,2526.0,1041.0,1127.0,2963.0,1048.0,1806.0,2367.0,2343.0,417.0,901.0,1064.0,2034.0,1014.0,433.0,2193.0,1607.0,2134.0,5350.0,1374.0,471.0,1086.0,1621.0,2264.0,1336.0,287.0,2654.0,3055.0,2393.0,965.0,1396.0,1400.0,666.0,1526.0,2548.0,3089.0,1958.0,1991.0,4813.0,1245.0,4258.0,1449.0,2911.0,1518.0,2988.0,1577.0,2074.0,3648.0,2677.0,2156.0,2050.0,617.0,1637.0,1035.0,3006.0,1814.0,2091.0,1634.0,374.0,830.0,8.0,1407.0,189.0,2077.0,1818.0,821.0,964.0,1155.0,1466.0,867.0,2243.0,899.0,400.0,1810.0,1458.0,606.0,235.0,569.0,771.0,358.0,275.0,869.0,1510.0,825.0
1002__mALb8x1_rprtc_B,1407.0,3331.0,1975.0,67.0,1374.0,1881.0,4592.0,3703.0,4356.0,3805.0,2252.0,581.0,1907.0,2256.0,2766.0,5435.0,556.0,1695.0,5971.0,3669.0,5503.0,2941.0,923.0,2173.0,2971.0,4097.0,2699.0,401.0,6096.0,5740.0,5552.0,1356.0,3860.0,3625.0,1282.0,4223.0,3749.0,5017.0,2012.0,3502.0,2870.0,4159.0,4952.0,3351.0,3592.0,2785.0,2527.0,722.0,2072.0,2540.0,1587.0,4841.0,2298.0,2575.0,1217.0,2936.0,3722.0,1734.0,5090.0,2122.0,977.0,819.0,10.0,2667.0,438.0,4610.0,2461.0,2022.0,3718.0,4323.0,2878.0,1458.0,2153.0,874.0,2248.0,1454.0,1868.0,2166.0,986.0,1374.0,873.0,1305.0,460.0,1230.0,2003.0,737.0
1003__mALb8x2_fdrtc_A,539.0,3422.0,1877.0,4263.0,68.0,1153.0,1776.0,1234.0,1292.0,2637.0,776.0,259.0,716.0,889.0,1583.0,1319.0,529.0,2225.0,2662.0,4507.0,2294.0,1432.0,472.0,876.0,3847.0,2460.0,547.0,196.0,1961.0,4755.0,3098.0,1048.0,1349.0,2446.0,1227.0,1337.0,3362.0,3205.0,1886.0,1374.0,2558.0,2453.0,3361.0,278.0,3006.0,2885.0,1869.0,1698.0,2117.0,1773.0,1535.0,3104.0,2518.0,1044.0,389.0,1103.0,3780.0,1449.0,1006.0,942.0,474.0,1606.0,7.0,2316.0,221.0,2076.0,1828.0,562.0,2481.0,1583.0,2020.0,1055.0,2520.0,654.0,551.0,1034.0,289.0,727.0,764.0,690.0,1368.0,1218.0,1378.0,4.0,1535.0,1030.0
1003__mALb8x2_fdrtc_B,1527.0,3411.0,632.0,4278.0,594.0,,1290.0,2281.0,1597.0,2636.0,418.0,230.0,994.0,1450.0,2307.0,2161.0,587.0,1107.0,3426.0,2752.0,2554.0,865.0,1574.0,2173.0,772.0,2711.0,1667.0,220.0,2736.0,2418.0,3058.0,1422.0,1789.0,1782.0,685.0,1723.0,2001.0,2446.0,1316.0,1698.0,2269.0,1764.0,4826.0,1731.0,2352.0,1701.0,2540.0,2048.0,927.0,1989.0,1696.0,1355.0,2924.0,1421.0,1158.0,1287.0,2484.0,1367.0,2421.0,1508.0,770.0,1867.0,7.0,1790.0,260.0,1594.0,2666.0,1765.0,1312.0,1150.0,1777.0,1295.0,1309.0,748.0,1039.0,505.0,859.0,815.0,818.0,988.0,747.0,1372.0,543.0,1359.0,1540.0,652.0
1004__mALb8x2_rprtc_A,1354.0,3368.0,2782.0,4052.0,1064.0,583.0,5.0,1218.0,1800.0,1069.0,1911.0,184.0,1087.0,1007.0,3213.0,2027.0,364.0,2497.0,5155.0,3620.0,2455.0,3086.0,637.0,2120.0,2397.0,2635.0,2701.0,280.0,4497.0,4145.0,3510.0,976.0,2043.0,1699.0,928.0,1947.0,4039.0,3401.0,2358.0,2908.0,3582.0,4122.0,2631.0,1619.0,2264.0,3024.0,2201.0,2314.0,2174.0,2866.0,3232.0,3705.0,2916.0,598.0,1767.0,1941.0,2983.0,770.0,1561.0,794.0,1051.0,1867.0,33.0,2013.0,254.0,1593.0,2099.0,1578.0,405.0,2210.0,2273.0,2319.0,2373.0,1022.0,1117.0,526.0,2063.0,741.0,984.0,1251.0,545.0,534.0,1685.0,9.0,1516.0,1317.0
1004__mALb8x2_rprtc_B,1202.0,2287.0,1458.0,4327.0,965.0,1319.0,2091.0,894.0,280.0,2581.0,770.0,180.0,913.0,721.0,752.0,1895.0,333.0,1143.0,3240.0,3209.0,1540.0,1494.0,1348.0,781.0,2174.0,3112.0,1910.0,160.0,2859.0,3106.0,1779.0,1662.0,3586.0,1752.0,300.0,2351.0,2324.0,3934.0,1853.0,1466.0,2495.0,1427.0,1756.0,1701.0,1760.0,2379.0,2038.0,1295.0,782.0,1937.0,438.0,2777.0,2478.0,722.0,648.0,892.0,2404.0,1938.0,1826.0,1462.0,570.0,1066.0,6.0,787.0,746.0,1707.0,1713.0,1011.0,1515.0,2240.0,2326.0,1545.0,3656.0,484.0,702.0,478.0,1236.0,536.0,612.0,146.0,292.0,2607.0,605.0,804.0,294.0,198.0
1005__mALb8x12_fdrtc_A,1471.0,1553.0,1741.0,2071.0,630.0,1126.0,959.0,1196.0,736.0,910.0,2368.0,209.0,940.0,1141.0,2344.0,1806.0,466.0,2023.0,2651.0,2652.0,2370.0,1942.0,690.0,1098.0,1542.0,2930.0,1186.0,143.0,3463.0,4544.0,1954.0,1032.0,2056.0,856.0,1056.0,1570.0,1811.0,3165.0,1339.0,1506.0,3287.0,1104.0,3028.0,956.0,2362.0,1756.0,2301.0,1120.0,1328.0,1552.0,1196.0,1469.0,1723.0,1161.0,517.0,1170.0,1822.0,976.0,1262.0,1375.0,1318.0,1825.0,9.0,1682.0,232.0,1888.0,1939.0,765.0,1316.0,1066.0,1381.0,1328.0,1724.0,980.0,1.0,868.0,1197.0,50.0,1423.0,1133.0,1436.0,498.0,1552.0,872.0,528.0,382.0
1005__mALb8x12_fdrtc_B,1088.0,3455.0,2385.0,4836.0,1624.0,1127.0,1603.0,2785.0,2913.0,,570.0,273.0,1830.0,733.0,1460.0,3633.0,427.0,2006.0,4718.0,2974.0,4207.0,2088.0,980.0,1442.0,2252.0,2687.0,965.0,195.0,3505.0,4541.0,2572.0,1297.0,2932.0,1807.0,740.0,3096.0,3290.0,2014.0,1703.0,1238.0,2373.0,3228.0,3144.0,1404.0,1496.0,2190.0,2038.0,1908.0,1863.0,1819.0,2379.0,2601.0,2989.0,467.0,1866.0,2603.0,3275.0,1686.0,490.0,1400.0,944.0,1457.0,11.0,2489.0,204.0,2429.0,2388.0,1105.0,3407.0,2034.0,863.0,682.0,2050.0,890.0,353.0,554.0,732.0,555.0,1521.0,1627.0,2260.0,475.0,1818.0,1510.0,1653.0,1748.0
1006__mALb8x12_rprtc_A,845.0,2006.0,2218.0,2323.0,1438.0,571.0,1854.0,1706.0,885.0,1488.0,53.0,180.0,1306.0,1045.0,2537.0,1974.0,259.0,879.0,591.0,1693.0,1747.0,809.0,205.0,1098.0,894.0,1794.0,428.0,162.0,2583.0,3048.0,2375.0,766.0,1597.0,1068.0,433.0,2409.0,1331.0,3576.0,1124.0,2345.0,3406.0,737.0,711.0,931.0,2460.0,1291.0,1683.0,1825.0,1435.0,1466.0,892.0,786.0,2911.0,565.0,764.0,1676.0,2162.0,660.0,1064.0,1705.0,914.0,916.0,9.0,1138.0,963.0,961.0,2076.0,1334.0,749.0,2344.0,1526.0,1023.0,1339.0,636.0,1.0,493.0,446.0,269.0,939.0,747.0,686.0,696.0,850.0,487.0,537.0,78.0
1006__mALb8x12_rprtc_B,984.0,1067.0,437.0,1991.0,429.0,609.0,759.0,1052.0,1268.0,879.0,719.0,,579.0,376.0,655.0,1457.0,205.0,674.0,2063.0,807.0,1785.0,534.0,715.0,429.0,1052.0,569.0,399.0,110.0,1708.0,1000.0,1840.0,253.0,1753.0,441.0,423.0,1593.0,1281.0,1026.0,350.0,652.0,2300.0,516.0,1417.0,1307.0,576.0,1556.0,619.0,833.0,373.0,1311.0,1158.0,2582.0,792.0,743.0,480.0,716.0,1579.0,1061.0,398.0,585.0,491.0,1075.0,9.0,944.0,193.0,499.0,490.0,409.0,719.0,681.0,1134.0,310.0,1010.0,272.0,772.0,448.0,401.0,1631.0,283.0,574.0,169.0,609.0,694.0,540.0,1362.0,631.0
1007__mALb8x12j_fdrtc_A,1098.0,1271.0,634.0,1805.0,880.0,696.0,1240.0,837.0,1016.0,1438.0,562.0,104.0,653.0,883.0,1356.0,1826.0,427.0,759.0,1922.0,1662.0,1489.0,1140.0,653.0,1105.0,962.0,1609.0,1355.0,142.0,1447.0,1632.0,651.0,230.0,1890.0,1220.0,682.0,1427.0,2269.0,3186.0,1322.0,1743.0,1591.0,1457.0,1625.0,1193.0,1081.0,750.0,966.0,1462.0,986.0,779.0,1621.0,961.0,1525.0,403.0,520.0,706.0,3073.0,1203.0,709.0,528.0,630.0,1284.0,12.0,1348.0,37.0,1352.0,1678.0,796.0,1313.0,1539.0,780.0,960.0,1316.0,471.0,149.0,75.0,505.0,318.0,1471.0,916.0,1029.0,485.0,93.0,364.0,1009.0,1183.0
1007__mALb8x12j_fdrtc_B,505.0,1211.0,1567.0,3305.0,392.0,911.0,1118.0,777.0,321.0,1887.0,180.0,335.0,781.0,30.0,2306.0,1711.0,350.0,2368.0,2825.0,2054.0,2385.0,839.0,244.0,663.0,1757.0,1195.0,417.0,194.0,2106.0,1889.0,1994.0,368.0,730.0,1445.0,721.0,1403.0,1770.0,913.0,1294.0,484.0,1717.0,1952.0,2983.0,459.0,1587.0,536.0,1608.0,743.0,814.0,2035.0,2158.0,2028.0,863.0,263.0,421.0,935.0,3224.0,1152.0,882.0,605.0,284.0,1034.0,11.0,1312.0,227.0,3194.0,874.0,594.0,1536.0,1444.0,266.0,394.0,1660.0,83.0,331.0,377.0,676.0,303.0,636.0,754.0,726.0,1318.0,891.0,861.0,1416.0,259.0
1008__mALb8x12j_rprtc_A,812.0,2141.0,1120.0,2464.0,1037.0,601.0,2080.0,879.0,1088.0,862.0,1760.0,108.0,452.0,770.0,1384.0,1623.0,143.0,2152.0,2347.0,2054.0,3302.0,801.0,872.0,1336.0,807.0,3855.0,982.0,85.0,1220.0,1495.0,2639.0,800.0,800.0,1110.0,412.0,1365.0,1987.0,1859.0,1733.0,991.0,4077.0,2185.0,3244.0,870.0,1892.0,1192.0,2441.0,754.0,1326.0,1544.0,1549.0,1565.0,2232.0,799.0,1033.0,2168.0,2427.0,914.0,1003.0,1539.0,881.0,890.0,3.0,1409.0,133.0,1701.0,1479.0,711.0,1054.0,1789.0,1453.0,1468.0,1630.0,377.0,409.0,705.0,398.0,963.0,2451.0,1130.0,549.0,1073.0,1.0,975.0,474.0,244.0
1008__mALb8x12j_rprtc_B,1960.0,2328.0,459.0,2669.0,951.0,1324.0,1037.0,2915.0,1337.0,2054.0,833.0,78.0,2306.0,1227.0,2175.0,52.0,682.0,1335.0,1813.0,4068.0,1950.0,1443.0,683.0,888.0,2890.0,1501.0,1825.0,210.0,1681.0,1340.0,3120.0,725.0,1644.0,1129.0,494.0,1674.0,2238.0,4135.0,1068.0,2590.0,3172.0,3463.0,1692.0,509.0,2057.0,1260.0,1082.0,1723.0,671.0,1959.0,402.0,2231.0,1363.0,1124.0,1402.0,798.0,2943.0,1864.0,1332.0,1505.0,860.0,1400.0,10.0,1333.0,501.0,2723.0,1454.0,1120.0,1061.0,843.0,1852.0,397.0,1906.0,785.0,578.0,1510.0,1543.0,240.0,332.0,147.0,1617.0,72.0,400.0,898.0,730.0,734.0
1009__IL8_2H_A,1984.0,1460.0,1469.0,2440.0,1138.0,1355.0,916.0,2176.0,2654.0,1172.0,799.0,173.0,1516.0,618.0,1857.0,2325.0,,717.0,2386.0,2679.0,2419.0,1817.0,508.0,1572.0,978.0,2375.0,1441.0,201.0,2317.0,3511.0,1182.0,769.0,2171.0,673.0,1043.0,1381.0,2413.0,3438.0,1454.0,972.0,4415.0,1236.0,1948.0,1193.0,1570.0,1109.0,2310.0,1048.0,1466.0,2478.0,1450.0,2538.0,1583.0,399.0,815.0,1067.0,2940.0,1490.0,1790.0,1362.0,153.0,929.0,3.0,1229.0,222.0,1026.0,1041.0,926.0,2409.0,2077.0,2092.0,503.0,2593.0,609.0,675.0,533.0,919.0,350.0,1149.0,1529.0,1460.0,925.0,208.0,554.0,740.0,618.0
1009__IL8_2H_B,1175.0,2604.0,1701.0,4403.0,1326.0,991.0,1830.0,627.0,614.0,1164.0,1296.0,135.0,1370.0,661.0,2066.0,1381.0,277.0,568.0,1128.0,3497.0,1099.0,1219.0,876.0,701.0,1719.0,1797.0,1457.0,251.0,2692.0,1715.0,1085.0,524.0,1591.0,899.0,738.0,1647.0,1992.0,3073.0,957.0,1457.0,2466.0,1553.0,2419.0,1586.0,616.0,1881.0,912.0,1823.0,1297.0,1050.0,1126.0,3293.0,1089.0,511.0,516.0,1501.0,1599.0,1231.0,1419.0,589.0,1110.0,1263.0,5.0,1468.0,540.0,2044.0,1295.0,1389.0,1389.0,1450.0,1408.0,730.0,1510.0,978.0,965.0,803.0,1013.0,1091.0,547.0,782.0,481.0,1006.0,210.0,907.0,1141.0,451.0
1010__IL9_2H_A,618.0,3324.0,1184.0,2873.0,1177.0,1302.0,1315.0,3159.0,1755.0,1178.0,1608.0,89.0,1370.0,824.0,1646.0,2633.0,289.0,845.0,1.0,2286.0,2881.0,1041.0,709.0,2065.0,2838.0,2736.0,960.0,132.0,3200.0,2537.0,1483.0,473.0,1671.0,2160.0,622.0,1983.0,2595.0,2988.0,2735.0,1666.0,2956.0,1680.0,2645.0,794.0,1596.0,1486.0,2731.0,1461.0,1416.0,1652.0,1908.0,2358.0,2389.0,1411.0,461.0,1312.0,1827.0,1407.0,500.0,1930.0,747.0,831.0,5.0,1518.0,337.0,1817.0,684.0,1451.0,1440.0,2481.0,736.0,1030.0,1332.0,595.0,1341.0,2145.0,1672.0,1599.0,476.0,714.0,2249.0,212.0,230.0,1387.0,400.0,317.0
1010__IL9_2H_B,1208.0,2124.0,1336.0,2985.0,1068.0,769.0,813.0,1270.0,818.0,1665.0,1557.0,400.0,1271.0,1710.0,569.0,1667.0,396.0,829.0,2536.0,182.0,4000.0,1407.0,605.0,1357.0,1578.0,1582.0,339.0,116.0,1954.0,2389.0,2910.0,1224.0,1039.0,1236.0,987.0,1611.0,2990.0,2959.0,727.0,121.0,2089.0,674.0,1535.0,974.0,1182.0,2756.0,602.0,1455.0,859.0,1287.0,1607.0,1455.0,1428.0,510.0,1081.0,1378.0,994.0,1827.0,2305.0,1361.0,790.0,1208.0,10.0,1118.0,223.0,659.0,1341.0,715.0,693.0,1554.0,994.0,562.0,1442.0,501.0,322.0,965.0,259.0,552.0,824.0,2390.0,378.0,1097.0,302.0,441.0,1031.0,398.0
1011__IL14_2H_A,953.0,1554.0,1051.0,920.0,967.0,1089.0,1896.0,1028.0,405.0,1198.0,684.0,36.0,793.0,631.0,1335.0,1049.0,135.0,918.0,1008.0,1866.0,,1104.0,377.0,528.0,1571.0,894.0,382.0,116.0,1459.0,1537.0,1450.0,164.0,1798.0,946.0,283.0,1357.0,290.0,2136.0,963.0,1558.0,2196.0,1443.0,1489.0,1134.0,1516.0,1649.0,979.0,887.0,594.0,1169.0,487.0,1609.0,921.0,244.0,337.0,1576.0,1334.0,1104.0,946.0,888.0,114.0,685.0,1.0,554.0,201.0,1092.0,820.0,565.0,328.0,1182.0,1183.0,804.0,1100.0,373.0,220.0,126.0,120.0,332.0,154.0,844.0,1048.0,537.0,1.0,667.0,232.0,41.0
1011__IL14_2H_B,2108.0,2356.0,1588.0,1745.0,1066.0,1508.0,2299.0,3239.0,2015.0,1055.0,73.0,108.0,1471.0,519.0,2900.0,3081.0,254.0,1115.0,633.0,1877.0,1789.0,60.0,418.0,856.0,2397.0,2780.0,1434.0,37.0,3036.0,2551.0,3912.0,1059.0,3261.0,2153.0,592.0,2114.0,1933.0,2773.0,870.0,1113.0,3080.0,990.0,2519.0,711.0,1321.0,1649.0,1399.0,2324.0,1004.0,2169.0,1563.0,2090.0,1866.0,748.0,1376.0,657.0,4507.0,622.0,1012.0,812.0,577.0,1110.0,3.0,2333.0,308.0,3547.0,1122.0,659.0,578.0,1485.0,733.0,17.0,1178.0,432.0,547.0,229.0,205.0,1906.0,1962.0,741.0,355.0,900.0,846.0,698.0,2212.0,550.0
1012__IL8_2Hx1_A,734.0,1776.0,1143.0,3493.0,1572.0,855.0,1718.0,1309.0,1171.0,947.0,681.0,212.0,1240.0,419.0,1141.0,1832.0,600.0,1305.0,2355.0,1143.0,2564.0,981.0,641.0,851.0,1231.0,1019.0,209.0,137.0,2173.0,2732.0,2296.0,732.0,1035.0,1889.0,1056.0,1175.0,2295.0,2609.0,1656.0,1088.0,1862.0,1279.0,1987.0,1346.0,3365.0,1239.0,1093.0,1353.0,1908.0,2199.0,1563.0,2406.0,2134.0,1311.0,600.0,897.0,2048.0,1252.0,1386.0,718.0,848.0,1558.0,12.0,584.0,182.0,1374.0,1007.0,849.0,1479.0,3264.0,923.0,1209.0,1597.0,300.0,1041.0,397.0,124.0,1870.0,228.0,599.0,382.0,870.0,1089.0,914.0,481.0,689.0
1012__IL8_2Hx1_B,1558.0,2525.0,803.0,2848.0,1435.0,896.0,1646.0,1046.0,687.0,680.0,1312.0,203.0,871.0,527.0,4033.0,1378.0,246.0,1103.0,1834.0,2108.0,2852.0,1001.0,580.0,,1445.0,2275.0,1071.0,86.0,2461.0,2022.0,1806.0,519.0,1967.0,892.0,688.0,1052.0,2980.0,1641.0,915.0,836.0,2039.0,2156.0,2782.0,1002.0,1852.0,1551.0,704.0,546.0,916.0,1505.0,784.0,1313.0,1474.0,307.0,714.0,1095.0,1355.0,521.0,1229.0,1441.0,1083.0,1017.0,1.0,659.0,379.0,1489.0,734.0,468.0,689.0,933.0,1662.0,1028.0,1192.0,335.0,386.0,838.0,237.0,770.0,759.0,1275.0,820.0,1357.0,240.0,564.0,675.0,250.0
1013__IL9_2Hx1_A,1011.0,2566.0,2256.0,2895.0,550.0,560.0,1675.0,2023.0,1032.0,1193.0,1727.0,306.0,635.0,486.0,2145.0,3318.0,333.0,835.0,2956.0,2419.0,2485.0,1207.0,833.0,1274.0,13.0,2131.0,630.0,246.0,1067.0,3731.0,1084.0,533.0,932.0,1255.0,867.0,2685.0,2496.0,2570.0,1369.0,1220.0,2470.0,1763.0,1891.0,1338.0,2362.0,1218.0,828.0,1554.0,1211.0,1307.0,1505.0,1699.0,2279.0,792.0,800.0,1060.0,2835.0,1155.0,1145.0,1971.0,864.0,2472.0,2.0,861.0,70.0,1607.0,2230.0,526.0,1534.0,2129.0,1581.0,605.0,2113.0,403.0,1073.0,401.0,925.0,633.0,641.0,729.0,985.0,1472.0,235.0,651.0,813.0,794.0
