Binder1,1001__mALb8x1_fdrtc_A,1001__mALb8x1_fdrtc_B,1002__mALb8x1_rprtc_A,1002__mALb8x1_rprtc_B,1003__mALb8x2_fdrtc_A,1003__mALb8x2_fdrtc_B,1004__mALb8x2_rprtc_A,1004__mALb8x2_rprtc_B,1005__mALb8x12_fdrtc_A,1005__mALb8x12_fdrtc_B,1006__mALb8x12_rprtc_A,1006__mALb8x12_rprtc_B,1007__mALb8x12j_fdrtc_A,1007__mALb8x12j_fdrtc_B,1008__mALb8x12j_rprtc_A,1008__mALb8x12j_rprtc_B,1009__IL8_2H_A,1009__IL8_2H_B,1010__IL9_2H_A,1010__IL9_2H_B,1011__IL14_2H_A,1011__IL14_2H_B,1012__IL8_2Hx1_A,1012__IL8_2Hx1_B,1013__IL9_2Hx1_A,1013__IL9_2Hx1_B,1014__IL9_2Hx2_A,1014__IL9_2Hx2_B,1015__IL9_2Hx12j_A,1015__IL9_2Hx12j_B,1016__IL14_2Hx1_A,1016__IL14_2Hx1_B,1017__IL14_2Hx2_A,1017__IL14_2Hx2_B,1018__BW1_2H_A,1018__BW1_2H_B,1019__BW2_2H_A,1019__BW2_2H_B,1020__BW3_2H_A,1020__BW3_2H_B,1021__BW5_2H_A,1021__BW5_2H_B,1022__BW8_2H_A,1022__BW8_2H_B,1023__BW9_2H_A,1023__BW9_2H_B,1024__BW11_2H_A,1024__BW11_2H_B,1025__BW5_2Hx1_A,1025__BW5_2Hx1_B,1026__BW5_2Hx2_A,1026__BW5_2Hx2_B,1027__BW5_2Hx12j_A,1027__BW5_2Hx12j_B,1028__BW8_2Hx1_A,1028__BW8_2Hx1_B,1029__BW8_2Hx2_A,1029__BW8_2Hx2_B,1030__BW8_2Hx12j_A,1030__BW8_2Hx12j_B,1031__BW11_2Hx1_A,1031__BW11_2Hx1_B,1032__BW11_2Hx2_A,1032__BW11_2Hx2_B,1033__BW11_2Hx12j_A,1033__BW11_2Hx12j_B,1034__BW1_2Hx1_A,1034__BW1_2Hx1_B,1035__BW2_2Hx1_A,1035__BW2_2Hx1_B,1036__BW3_2Hx1_A,1036__BW3_2Hx1_B,1037__BW9_2Hx1_A,1037__BW9_2Hx1_B,Jerala_P1,Jerala_P10,Jerala_P11,Jerala_P12,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9
1028__BW8_2Hx1_A,429.0,1110.0,969.0,1253.0,652.0,891.0,1100.0,969.0,854.0,494.0,314.0,85.0,311.0,293.0,825.0,1142.0,115.0,690.0,850.0,1782.0,572.0,474.0,260.0,338.0,819.0,1182.0,632.0,42.0,1163.0,860.0,955.0,343.0,1096.0,511.0,184.0,754.0,539.0,841.0,486.0,238.0,879.0,582.0,523.0,395.0,670.0,459.0,1248.0,526.0,276.0,981.0,487.0,1064.0,852.0,559.0,,525.0,837.0,591.0,712.0,864.0,531.0,174.0,4.0,240.0,482.0,695.0,574.0,408.0,770.0,548.0,600.0,349.0,349.0,244.0,12.0,290.0,493.0,281.0,124.0,493.0,726.0,530.0,195.0,557.0,104.0,94.0
1028__BW8_2Hx1_B,726.0,1665.0,1171.0,2308.0,1339.0,625.0,519.0,881.0,1546.0,880.0,739.0,134.0,907.0,1050.0,1938.0,1271.0,427.0,1074.0,2234.0,2578.0,2246.0,1216.0,380.0,545.0,2106.0,1596.0,1085.0,137.0,3077.0,3055.0,1362.0,551.0,1538.0,1745.0,602.0,1011.0,2007.0,1807.0,2322.0,686.0,2915.0,2352.0,1655.0,635.0,1120.0,2088.0,1007.0,1018.0,1672.0,1293.0,657.0,1450.0,1808.0,1632.0,843.0,,1303.0,1014.0,2268.0,1155.0,987.0,917.0,2.0,1869.0,209.0,996.0,1234.0,786.0,1226.0,1078.0,678.0,565.0,1949.0,799.0,297.0,275.0,572.0,257.0,90.0,287.0,1191.0,877.0,326.0,262.0,416.0,468.0
1029__BW8_2Hx2_A,821.0,1798.0,1139.0,2115.0,1461.0,1663.0,1530.0,1958.0,1286.0,1369.0,1748.0,143.0,1011.0,732.0,2671.0,1560.0,249.0,731.0,2539.0,3369.0,1743.0,857.0,911.0,1147.0,1696.0,2213.0,1544.0,175.0,2981.0,683.0,1757.0,472.0,963.0,2093.0,429.0,1052.0,1579.0,2060.0,1097.0,1551.0,2406.0,1929.0,2295.0,1639.0,1220.0,1725.0,1276.0,644.0,1379.0,975.0,923.0,1836.0,2002.0,1011.0,1033.0,1270.0,339.0,1369.0,1053.0,1475.0,1027.0,1216.0,12.0,1703.0,151.0,1460.0,990.0,1201.0,924.0,782.0,1756.0,763.0,1877.0,532.0,1311.0,107.0,775.0,204.0,182.0,88.0,362.0,623.0,723.0,1459.0,797.0,351.0
1029__BW8_2Hx2_B,1002.0,2093.0,886.0,1956.0,1541.0,1576.0,1812.0,978.0,1529.0,1343.0,940.0,72.0,586.0,584.0,1818.0,1134.0,84.0,557.0,1814.0,1144.0,2453.0,1582.0,770.0,1198.0,901.0,1668.0,1017.0,90.0,1651.0,1537.0,1996.0,371.0,1484.0,825.0,735.0,791.0,756.0,2392.0,531.0,607.0,1851.0,1281.0,620.0,1004.0,630.0,1397.0,782.0,681.0,1014.0,1427.0,960.0,1943.0,1700.0,839.0,533.0,1263.0,3128.0,4.0,1093.0,1043.0,561.0,681.0,14.0,898.0,73.0,1289.0,1924.0,927.0,1213.0,907.0,1192.0,328.0,881.0,305.0,289.0,709.0,852.0,580.0,360.0,763.0,220.0,658.0,393.0,236.0,722.0,346.0
1030__BW8_2Hx12j_A,684.0,1337.0,626.0,3728.0,669.0,768.0,1441.0,1261.0,1006.0,973.0,746.0,143.0,1116.0,2366.0,1283.0,2372.0,277.0,701.0,1824.0,1673.0,2646.0,1668.0,162.0,918.0,1851.0,1073.0,1352.0,220.0,1177.0,2123.0,1602.0,240.0,816.0,1109.0,509.0,2213.0,2430.0,1482.0,918.0,1126.0,2787.0,1201.0,1280.0,671.0,1439.0,988.0,720.0,1280.0,774.0,1093.0,1115.0,2037.0,1117.0,524.0,1625.0,585.0,711.0,1106.0,583.0,1660.0,483.0,788.0,5.0,1294.0,52.0,1685.0,614.0,1241.0,1944.0,1257.0,1356.0,727.0,704.0,128.0,652.0,714.0,758.0,197.0,381.0,845.0,320.0,211.0,485.0,501.0,258.0,162.0
1030__BW8_2Hx12j_B,707.0,1396.0,1373.0,2897.0,1330.0,584.0,1366.0,1555.0,3107.0,1050.0,1052.0,96.0,1114.0,921.0,3321.0,1898.0,246.0,564.0,1173.0,2081.0,3385.0,1018.0,109.0,1245.0,1482.0,2188.0,2168.0,118.0,2820.0,2097.0,2669.0,557.0,1825.0,2843.0,282.0,1475.0,2453.0,1785.0,588.0,1306.0,2174.0,1271.0,1514.0,1415.0,1539.0,2719.0,1444.0,1171.0,747.0,557.0,616.0,1789.0,1781.0,890.0,725.0,559.0,3444.0,1194.0,225.0,,481.0,1201.0,5.0,1158.0,54.0,1055.0,1138.0,659.0,1590.0,1064.0,1198.0,299.0,1043.0,397.0,1890.0,754.0,773.0,424.0,534.0,671.0,694.0,659.0,93.0,805.0,155.0,230.0
1031__BW11_2Hx1_A,753.0,743.0,399.0,1222.0,716.0,863.0,444.0,1274.0,526.0,1367.0,525.0,137.0,648.0,741.0,1821.0,1103.0,320.0,494.0,377.0,1735.0,2064.0,264.0,539.0,843.0,828.0,1887.0,662.0,125.0,2398.0,1810.0,1931.0,365.0,425.0,592.0,150.0,899.0,993.0,613.0,604.0,325.0,1140.0,669.0,1321.0,341.0,1498.0,191.0,1431.0,971.0,965.0,539.0,1154.0,2261.0,894.0,314.0,367.0,705.0,643.0,502.0,246.0,1081.0,46.0,524.0,11.0,1420.0,376.0,659.0,433.0,247.0,781.0,814.0,286.0,678.0,1254.0,150.0,135.0,364.0,275.0,307.0,21.0,70.0,194.0,112.0,238.0,61.0,366.0,183.0
1031__BW11_2Hx1_B,1565.0,410.0,927.0,1536.0,1928.0,1771.0,1381.0,1401.0,1373.0,840.0,1113.0,150.0,596.0,1235.0,1949.0,1964.0,270.0,1221.0,1670.0,3303.0,2085.0,1080.0,1301.0,1532.0,1422.0,2697.0,968.0,195.0,1608.0,2646.0,3284.0,686.0,1318.0,1815.0,737.0,1255.0,2105.0,2031.0,1116.0,551.0,3264.0,2460.0,2426.0,1193.0,2514.0,1446.0,2306.0,2298.0,1264.0,734.0,1117.0,1236.0,2693.0,705.0,771.0,2151.0,1636.0,1926.0,713.0,1758.0,350.0,239.0,4.0,867.0,522.0,3628.0,1537.0,1423.0,989.0,1505.0,1241.0,2021.0,1760.0,565.0,37.0,680.0,834.0,810.0,544.0,1604.0,754.0,628.0,194.0,838.0,794.0,577.0
1032__BW11_2Hx2_A,712.0,1356.0,1027.0,2253.0,1194.0,1153.0,1444.0,1431.0,1417.0,1082.0,694.0,179.0,883.0,1152.0,900.0,1910.0,277.0,483.0,2310.0,583.0,715.0,400.0,66.0,702.0,1419.0,2311.0,964.0,89.0,1449.0,2402.0,1554.0,390.0,818.0,647.0,550.0,1677.0,1049.0,832.0,919.0,1595.0,1789.0,1676.0,1222.0,486.0,1882.0,1137.0,882.0,1193.0,1122.0,881.0,706.0,2083.0,1276.0,985.0,890.0,1018.0,866.0,789.0,930.0,1016.0,457.0,383.0,,616.0,178.0,939.0,994.0,519.0,1366.0,894.0,1043.0,448.0,1204.0,267.0,406.0,462.0,116.0,283.0,531.0,371.0,471.0,282.0,,551.0,159.0,418.0
1032__BW11_2Hx2_B,883.0,1434.0,2657.0,3120.0,1943.0,1156.0,2143.0,1960.0,1122.0,2061.0,558.0,115.0,775.0,1335.0,2022.0,2595.0,296.0,2341.0,1356.0,3474.0,2961.0,1308.0,590.0,1618.0,2306.0,2882.0,1577.0,172.0,2621.0,3057.0,985.0,831.0,1754.0,2307.0,820.0,1220.0,1961.0,2331.0,1386.0,962.0,2501.0,950.0,1104.0,1462.0,2467.0,924.0,1860.0,1662.0,1141.0,1445.0,1292.0,1500.0,2082.0,2292.0,709.0,1662.0,1955.0,855.0,1570.0,1020.0,846.0,852.0,10.0,,123.0,2239.0,1647.0,489.0,2283.0,1411.0,1231.0,1130.0,1823.0,839.0,329.0,505.0,607.0,216.0,613.0,582.0,978.0,989.0,601.0,247.0,168.0,68.0
1033__BW11_2Hx12j_A,357.0,1722.0,842.0,1421.0,777.0,1553.0,2454.0,688.0,1777.0,2198.0,1016.0,71.0,1250.0,930.0,2123.0,924.0,202.0,1102.0,1727.0,583.0,2751.0,1269.0,665.0,564.0,473.0,2032.0,1384.0,173.0,2619.0,1453.0,1767.0,866.0,1113.0,1455.0,773.0,1182.0,2053.0,1631.0,491.0,1423.0,1066.0,3676.0,1793.0,700.0,1548.0,1483.0,2644.0,1262.0,995.0,2424.0,658.0,1469.0,2155.0,528.0,2385.0,1293.0,1724.0,665.0,1798.0,970.0,536.0,1357.0,3.0,1054.0,,2765.0,1498.0,862.0,1066.0,1327.0,1280.0,487.0,1243.0,546.0,106.0,171.0,583.0,1147.0,545.0,639.0,642.0,1250.0,648.0,401.0,245.0,577.0
1033__BW11_2Hx12j_B,1392.0,1915.0,1043.0,2893.0,1945.0,1213.0,1300.0,1150.0,1368.0,2698.0,731.0,310.0,1056.0,1231.0,2063.0,1841.0,293.0,1024.0,4444.0,2744.0,2935.0,2517.0,283.0,1400.0,1823.0,3329.0,1655.0,392.0,2848.0,4624.0,1449.0,1091.0,2087.0,1119.0,1004.0,3014.0,3207.0,3009.0,1152.0,757.0,3468.0,1629.0,2386.0,1953.0,1757.0,1722.0,3167.0,1595.0,832.0,1005.0,1776.0,2641.0,3477.0,977.0,482.0,1561.0,2005.0,1264.0,3186.0,2238.0,681.0,2045.0,5.0,1724.0,119.0,1706.0,1363.0,392.0,1141.0,3303.0,712.0,1157.0,1581.0,795.0,800.0,652.0,421.0,1005.0,665.0,577.0,801.0,420.0,734.0,242.0,621.0,515.0
1034__BW1_2Hx1_A,951.0,2608.0,2397.0,2527.0,1418.0,670.0,2251.0,1173.0,2055.0,1101.0,1114.0,150.0,1302.0,1200.0,427.0,2702.0,352.0,606.0,3554.0,1953.0,2293.0,897.0,436.0,838.0,1534.0,2422.0,600.0,133.0,1741.0,3287.0,2116.0,915.0,1748.0,1290.0,702.0,1795.0,2698.0,2627.0,450.0,1271.0,2917.0,2007.0,2077.0,879.0,1250.0,979.0,1258.0,1929.0,1272.0,2255.0,1274.0,1945.0,1801.0,1527.0,1257.0,1120.0,2309.0,1495.0,860.0,617.0,341.0,1688.0,3.0,1565.0,103.0,2459.0,,1007.0,869.0,1874.0,1127.0,934.0,1279.0,386.0,598.0,1116.0,204.0,446.0,1327.0,338.0,773.0,847.0,524.0,405.0,739.0,236.0
1034__BW1_2Hx1_B,1327.0,1765.0,946.0,3888.0,1279.0,1164.0,751.0,2249.0,1220.0,1104.0,548.0,44.0,1043.0,1277.0,1824.0,1753.0,315.0,1508.0,1845.0,2009.0,2560.0,896.0,1424.0,1269.0,1513.0,2640.0,1170.0,138.0,3333.0,2989.0,2430.0,702.0,1485.0,2161.0,386.0,2797.0,2262.0,1950.0,1331.0,1458.0,1990.0,1190.0,1599.0,955.0,1447.0,2095.0,1683.0,1233.0,1400.0,1801.0,721.0,885.0,2637.0,768.0,594.0,832.0,2449.0,819.0,1366.0,1148.0,1795.0,1476.0,1.0,316.0,470.0,1583.0,368.0,,1221.0,1099.0,1094.0,638.0,837.0,760.0,787.0,607.0,1142.0,704.0,894.0,1602.0,268.0,728.0,154.0,322.0,312.0,733.0
1035__BW2_2Hx1_A,988.0,2446.0,1250.0,2564.0,1530.0,1428.0,1912.0,908.0,1653.0,2362.0,1215.0,93.0,1503.0,850.0,2386.0,2484.0,200.0,1161.0,2299.0,2269.0,2535.0,1796.0,27.0,1492.0,1034.0,2996.0,515.0,113.0,3687.0,3007.0,2007.0,305.0,1032.0,1186.0,658.0,1716.0,2211.0,3098.0,1601.0,1707.0,1856.0,1543.0,2234.0,1280.0,2020.0,2426.0,2292.0,1572.0,1445.0,1085.0,812.0,1892.0,1627.0,842.0,347.0,1149.0,2217.0,1591.0,2863.0,1278.0,443.0,1106.0,8.0,1102.0,540.0,1584.0,2776.0,396.0,,1448.0,990.0,1065.0,1890.0,246.0,438.0,546.0,442.0,601.0,1243.0,235.0,831.0,287.0,951.0,1421.0,572.0,730.0
1035__BW2_2Hx1_B,1034.0,3007.0,1328.0,2379.0,907.0,1207.0,1351.0,3059.0,2477.0,1245.0,1308.0,405.0,1650.0,955.0,1434.0,2284.0,445.0,2368.0,1335.0,3468.0,1848.0,1627.0,315.0,1246.0,1967.0,2195.0,1722.0,234.0,2119.0,3925.0,1825.0,821.0,1923.0,1315.0,349.0,2055.0,2844.0,1655.0,939.0,1290.0,2880.0,2216.0,3774.0,2078.0,1511.0,2261.0,2418.0,2997.0,1457.0,1187.0,1617.0,3087.0,2093.0,618.0,1125.0,848.0,2373.0,1080.0,1963.0,1531.0,518.0,1364.0,13.0,1156.0,683.0,1706.0,2479.0,1467.0,1016.0,933.0,941.0,569.0,2330.0,756.0,974.0,1424.0,629.0,990.0,908.0,404.0,367.0,1569.0,902.0,1206.0,603.0,521.0
1036__BW3_2Hx1_A,1054.0,3040.0,1985.0,2757.0,2235.0,1759.0,1296.0,2510.0,721.0,1093.0,1655.0,349.0,1110.0,1229.0,2206.0,2932.0,563.0,2003.0,1227.0,1513.0,3541.0,1168.0,1554.0,2103.0,1001.0,2761.0,1282.0,75.0,2906.0,3378.0,2761.0,870.0,1673.0,1047.0,1514.0,953.0,1523.0,3366.0,891.0,1099.0,2370.0,2444.0,1677.0,364.0,1819.0,377.0,2006.0,1897.0,906.0,1327.0,1978.0,2166.0,1892.0,870.0,724.0,997.0,2424.0,173.0,1721.0,1031.0,201.0,1078.0,21.0,774.0,437.0,1289.0,2305.0,928.0,2079.0,1647.0,390.0,1254.0,2299.0,269.0,574.0,439.0,52.0,1341.0,1404.0,1286.0,592.0,1602.0,1517.0,1027.0,166.0,854.0
1036__BW3_2Hx1_B,1072.0,2365.0,1486.0,1639.0,719.0,860.0,1397.0,669.0,1219.0,1897.0,360.0,120.0,1173.0,577.0,574.0,2577.0,334.0,1580.0,1624.0,1456.0,2844.0,845.0,838.0,1067.0,2963.0,1727.0,1233.0,102.0,1519.0,1827.0,1528.0,669.0,1074.0,2412.0,1079.0,917.0,2614.0,2187.0,710.0,1604.0,2875.0,1513.0,1840.0,367.0,1460.0,1107.0,1225.0,475.0,1412.0,948.0,1398.0,2872.0,1901.0,515.0,839.0,1547.0,1655.0,1208.0,930.0,1084.0,768.0,958.0,4.0,1785.0,112.0,1090.0,1285.0,832.0,1540.0,1707.0,779.0,39.0,1100.0,639.0,411.0,759.0,273.0,443.0,703.0,538.0,593.0,255.0,956.0,79.0,1085.0,579.0
1037__BW9_2Hx1_A,1555.0,969.0,1632.0,2257.0,824.0,859.0,1838.0,1154.0,2693.0,1527.0,1175.0,249.0,1063.0,1447.0,2043.0,1028.0,187.0,1334.0,3277.0,1763.0,2784.0,1250.0,106.0,817.0,1760.0,1571.0,608.0,240.0,3113.0,1216.0,1759.0,620.0,1166.0,2243.0,498.0,573.0,2047.0,1806.0,1747.0,1542.0,3219.0,1688.0,1705.0,1008.0,1321.0,1885.0,1048.0,1778.0,1068.0,1550.0,1913.0,2716.0,1926.0,835.0,883.0,1077.0,1943.0,1332.0,1154.0,1978.0,623.0,1165.0,,1111.0,80.0,1810.0,1132.0,908.0,593.0,1271.0,1133.0,919.0,5.0,478.0,352.0,420.0,923.0,297.0,522.0,1379.0,1099.0,624.0,637.0,1453.0,1379.0,192.0
1037__BW9_2Hx1_B,614.0,1877.0,1465.0,3301.0,1973.0,678.0,782.0,2174.0,1153.0,790.0,1714.0,365.0,676.0,963.0,729.0,1958.0,283.0,1453.0,1960.0,1503.0,1880.0,986.0,756.0,654.0,1382.0,4020.0,1071.0,40.0,3233.0,2406.0,1520.0,452.0,2003.0,1514.0,397.0,1301.0,2620.0,4502.0,1286.0,463.0,1947.0,1707.0,2378.0,728.0,1212.0,1484.0,976.0,1396.0,948.0,856.0,1488.0,3359.0,1034.0,668.0,735.0,1177.0,3344.0,1419.0,1326.0,1415.0,307.0,1438.0,17.0,522.0,172.0,2703.0,831.0,1504.0,1831.0,1697.0,711.0,1003.0,2222.0,25.0,769.0,471.0,594.0,393.0,733.0,496.0,1371.0,299.0,490.0,1.0,713.0,845.0
Jerala_P1,121.0,356.0,144.0,267.0,87.0,240.0,155.0,176.0,371.0,174.0,20.0,57.0,219.0,23.0,130.0,203.0,18.0,175.0,233.0,283.0,51.0,80.0,377.0,1.0,105.0,660.0,47.0,,348.0,658.0,247.0,95.0,4.0,49.0,249.0,510.0,125.0,407.0,448.0,176.0,1300.0,537.0,789.0,101.0,21.0,26.0,681.0,3.0,165.0,213.0,452.0,5.0,51.0,26.0,2.0,12.0,331.0,120.0,2.0,71.0,28.0,329.0,,510.0,3.0,259.0,5.0,282.0,461.0,16.0,3.0,10.0,371.0,87.0,,,263.0,2.0,34.0,8.0,2.0,2.0,34.0,134.0,186.0,
Jerala_P10,336.0,570.0,1094.0,774.0,232.0,204.0,1804.0,122.0,1334.0,268.0,76.0,48.0,250.0,157.0,571.0,102.0,1.0,266.0,712.0,73.0,1011.0,248.0,325.0,85.0,637.0,206.0,280.0,38.0,192.0,646.0,4.0,189.0,22.0,3.0,421.0,103.0,213.0,551.0,553.0,43.0,776.0,34.0,122.0,175.0,40.0,217.0,268.0,461.0,29.0,373.0,93.0,702.0,909.0,14.0,783.0,358.0,318.0,328.0,386.0,640.0,14.0,237.0,,71.0,43.0,714.0,1030.0,62.0,103.0,584.0,84.0,477.0,383.0,125.0,1.0,,4.0,4.0,2.0,219.0,72.0,5.0,39.0,1.0,4.0,146.0
Jerala_P11,145.0,6.0,306.0,903.0,177.0,73.0,50.0,526.0,82.0,59.0,142.0,6.0,184.0,3.0,331.0,450.0,6.0,162.0,253.0,226.0,188.0,291.0,3.0,173.0,321.0,246.0,470.0,15.0,546.0,285.0,290.0,2.0,560.0,424.0,1.0,42.0,226.0,561.0,417.0,166.0,267.0,137.0,358.0,53.0,228.0,276.0,763.0,80.0,69.0,467.0,767.0,393.0,903.0,37.0,168.0,496.0,382.0,43.0,,647.0,134.0,37.0,,138.0,4.0,4.0,302.0,2.0,382.0,109.0,2.0,232.0,453.0,230.0,,78.0,,262.0,,4.0,115.0,378.0,1.0,266.0,70.0,128.0
Jerala_P12,377.0,211.0,108.0,339.0,187.0,231.0,403.0,455.0,190.0,263.0,22.0,14.0,94.0,236.0,498.0,67.0,47.0,216.0,35.0,730.0,353.0,425.0,20.0,56.0,120.0,679.0,565.0,39.0,270.0,220.0,306.0,224.0,86.0,182.0,116.0,1.0,373.0,697.0,204.0,55.0,1076.0,46.0,318.0,22.0,246.0,51.0,511.0,529.0,114.0,1025.0,50.0,155.0,114.0,97.0,1.0,209.0,187.0,390.0,122.0,44.0,150.0,569.0,,69.0,3.0,350.0,307.0,17.0,137.0,494.0,273.0,26.0,437.0,113.0,1.0,3.0,31.0,1.0,46.0,330.0,1.0,203.0,719.0,203.0,119.0,
Jerala_P2,2.0,205.0,2.0,543.0,556.0,111.0,322.0,432.0,409.0,32.0,95.0,9.0,90.0,97.0,288.0,158.0,64.0,483.0,238.0,127.0,794.0,12.0,254.0,4.0,625.0,100.0,3.0,75.0,485.0,986.0,153.0,282.0,531.0,448.0,102.0,177.0,604.0,253.0,66.0,272.0,625.0,1008.0,284.0,1.0,931.0,341.0,19.0,1103.0,36.0,623.0,73.0,657.0,187.0,348.0,38.0,201.0,130.0,40.0,4.0,107.0,26.0,75.0,,420.0,,685.0,219.0,203.0,75.0,260.0,741.0,2.0,2.0,28.0,9.0,,110.0,180.0,1.0,3.0,2.0,2.0,111.0,246.0,,3.0
Jerala_P3,117.0,376.0,85.0,471.0,115.0,4.0,188.0,65.0,672.0,36.0,339.0,144.0,6.0,38.0,4.0,342.0,30.0,1.0,233.0,4.0,211.0,1.0,91.0,319.0,242.0,201.0,1.0,,499.0,201.0,251.0,1.0,2.0,17.0,143.0,101.0,180.0,351.0,42.0,,55.0,287.0,469.0,32.0,268.0,224.0,228.0,1.0,58.0,615.0,196.0,52.0,388.0,29.0,,112.0,591.0,353.0,142.0,333.0,1.0,120.0,,83.0,22.0,4.0,26.0,,244.0,124.0,125.0,2.0,3.0,61.0,339.0,434.0,103.0,119.0,1.0,1.0,7.0,1.0,,2.0,,232.0
Jerala_P4,210.0,26.0,305.0,499.0,469.0,308.0,75.0,118.0,912.0,27.0,231.0,47.0,673.0,66.0,624.0,510.0,49.0,146.0,342.0,79.0,69.0,19.0,19.0,3.0,439.0,3.0,104.0,36.0,810.0,985.0,406.0,62.0,484.0,268.0,86.0,120.0,556.0,752.0,1.0,44.0,310.0,969.0,737.0,37.0,373.0,221.0,195.0,334.0,77.0,75.0,106.0,338.0,509.0,615.0,23.0,225.0,221.0,334.0,175.0,126.0,15.0,273.0,1.0,273.0,47.0,276.0,605.0,414.0,451.0,267.0,3.0,5.0,340.0,197.0,82.0,1.0,85.0,120.0,3.0,28.0,,1.0,295.0,208.0,255.0,51.0
Jerala_P5,23.0,245.0,167.0,570.0,178.0,557.0,177.0,260.0,603.0,61.0,18.0,82.0,239.0,555.0,9.0,291.0,104.0,,87.0,356.0,1159.0,65.0,56.0,249.0,245.0,600.0,,41.0,333.0,582.0,316.0,6.0,143.0,80.0,201.0,150.0,3.0,509.0,2.0,232.0,540.0,92.0,155.0,1.0,155.0,34.0,512.0,142.0,211.0,106.0,2.0,910.0,46.0,3.0,560.0,47.0,402.0,183.0,324.0,542.0,135.0,103.0,,3.0,8.0,242.0,596.0,15.0,48.0,429.0,94.0,220.0,159.0,49.0,208.0,2.0,554.0,107.0,1.0,1.0,2.0,1.0,171.0,1.0,107.0,
Jerala_P6,121.0,149.0,264.0,1538.0,226.0,206.0,77.0,358.0,235.0,83.0,218.0,47.0,241.0,240.0,93.0,269.0,15.0,43.0,64.0,590.0,173.0,491.0,27.0,110.0,331.0,365.0,201.0,5.0,112.0,293.0,129.0,16.0,3.0,219.0,,271.0,33.0,514.0,90.0,288.0,391.0,789.0,9.0,8.0,59.0,293.0,578.0,806.0,42.0,309.0,277.0,734.0,108.0,150.0,1.0,170.0,166.0,86.0,338.0,54.0,,258.0,1.0,64.0,12.0,163.0,102.0,135.0,308.0,199.0,241.0,51.0,187.0,,1.0,92.0,1.0,,2.0,161.0,54.0,1.0,,1.0,2.0,
Jerala_P7,140.0,608.0,106.0,117.0,71.0,1.0,57.0,2.0,15.0,7.0,87.0,17.0,4.0,5.0,170.0,310.0,1.0,157.0,4.0,919.0,304.0,36.0,2.0,344.0,191.0,843.0,1.0,37.0,235.0,478.0,299.0,327.0,7.0,1.0,70.0,145.0,3.0,122.0,3.0,,333.0,191.0,316.0,65.0,484.0,699.0,315.0,165.0,76.0,30.0,,4.0,423.0,94.0,57.0,248.0,657.0,256.0,89.0,305.0,252.0,3.0,1.0,128.0,1.0,686.0,65.0,53.0,105.0,191.0,18.0,3.0,358.0,7.0,,3.0,3.0,3.0,221.0,5.0,6.0,39.0,2.0,4.0,1.0,
Jerala_P8,126.0,130.0,397.0,624.0,253.0,378.0,140.0,249.0,311.0,67.0,108.0,2.0,90.0,118.0,133.0,389.0,184.0,107.0,154.0,1003.0,225.0,200.0,7.0,345.0,254.0,138.0,5.0,29.0,383.0,1156.0,467.0,128.0,359.0,72.0,64.0,88.0,195.0,273.0,587.0,475.0,377.0,438.0,346.0,407.0,15.0,224.0,3.0,73.0,243.0,139.0,57.0,662.0,13.0,122.0,64.0,3.0,546.0,298.0,153.0,407.0,130.0,22.0,6.0,333.0,2.0,1087.0,132.0,327.0,338.0,82.0,118.0,80.0,355.0,166.0,,5.0,80.0,,,1.0,118.0,,1.0,5.0,,1.0
Jerala_P9,43.0,620.0,267.0,838.0,267.0,24.0,293.0,300.0,251.0,40.0,349.0,3.0,833.0,21.0,84.0,565.0,19.0,165.0,635.0,1234.0,7.0,511.0,257.0,394.0,2.0,476.0,816.0,6.0,745.0,625.0,613.0,39.0,426.0,349.0,93.0,876.0,373.0,384.0,184.0,165.0,343.0,58.0,70.0,62.0,302.0,90.0,149.0,611.0,328.0,437.0,42.0,490.0,191.0,158.0,662.0,179.0,850.0,12.0,263.0,111.0,35.0,8.0,,507.0,35.0,416.0,12.0,344.0,235.0,149.0,3.0,1.0,151.0,73.0,,377.0,457.0,,1.0,,34.0,296.0,18.0,,3.0,
