"","count_DBDAD_trp1_l62_2mM","count_ADDBD_trp1_l62_2mM","count_DBDAD_his1_l62_2mM","count_ADDBD_his1_l62_2mM","count_DBDAD_trp1_l67","count_ADDBD_trp1_l67","count_DBDAD_his1_l67","count_ADDBD_his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P1:Jerala_P2",1523,1811,53793,51509,148,76,5223,1339,25069.4359893941,8.58103224650816,0.375647832922406,6.45902696207893e-116,2.4221351107796e-114
"Jerala_P1:Jerala_P3",4103,3445,210,194,199,202,13,11,215.311783892231,-0.139850560234781,0.184576594298397,0.17614906949602,0.423916506700476
"Jerala_P1:Jerala_P4",2693,3790,167,209,166,248,15,20,229.621866489177,-0.0228267008495251,0.184515519878511,0.812503505878961,0.916516088838653
"Jerala_P1:Jerala_P5",5479,3504,289,184,96,161,6,9,195.354722059386,-0.0844355332549693,0.201028041758042,0.36016500818644,0.641913624595119
"Jerala_P1:Jerala_P6",3346,2680,184,152,209,126,27,1,192.686891631597,-0.0655069148051255,0.196680432829246,0.476531093138124,0.697610886595244
"Jerala_P1:Jerala_P7",2158,1340,3621,72,193,47,6,1,495.443189488505,0.110383510784416,0.40668697692986,0.241216064924347,0.469525755538778
"Jerala_P1:Jerala_P8",3075,4876,158,313,202,143,5,4,183.322714911292,-0.165872127330923,0.220716669934872,0.0994674128052447,0.404137248125573
"Jerala_P1:Jerala_P9",3525,1977,167,126,115,170,11,21,189.088251764154,0.0197543408398684,0.193985283661646,0.827002665548027,0.916516088838653
"Jerala_P1:Jerala_P10",5302,5098,289,337,196,192,7,15,256.562567592155,-0.0724667540684688,0.193752423220718,0.441391239671782,0.697610886595244
"Jerala_P1:Jerala_P11",2414,2447,114,188,190,126,17,9,173.154964598716,-0.0283669976505261,0.186655767164904,0.765687734714198,0.890960441683937
"Jerala_P1:Jerala_P12",2235,834,136,50,179,192,16,9,153.050496573608,-0.0500465261263283,0.20980866464242,0.549567030524963,0.736027273024504
"Jerala_P2:Jerala_P3",2610,4677,141,1749,252,150,7,15,349.261981898012,0.0511059513250165,0.23563333425585,0.501659737116188,0.7098958544097
"Jerala_P2:Jerala_P4",2812,1817,175,102,147,145,97,4,322.710893145538,0.0854781919769111,0.270737792300036,0.289529075079582,0.542867015774217
"Jerala_P2:Jerala_P5",5276,3895,356,255,278,321,32,12,321.4902688229,-0.0252992495484443,0.199981524026461,0.770441472629375,0.890960441683937
"Jerala_P2:Jerala_P6",4938,2270,290,149,192,178,2,21,212.878635070986,-0.0361017553508375,0.200767541284291,0.678057196234007,0.852355380480639
"Jerala_P2:Jerala_P7",4089,2149,289,119,109,158,5,8,163.202156892299,-0.0654486293265495,0.197550815276815,0.47480191495064,0.697610886595244
"Jerala_P2:Jerala_P8",2798,3787,180,315,187,228,12,7,205.837770458528,-0.0874062902539217,0.17935548903491,0.387772280156916,0.641913624595119
"Jerala_P2:Jerala_P9",1772,2000,128,106,91,193,5,26,167.006206143546,0.0372946258330789,0.201599370815646,0.666599257820722,0.852355380480639
"Jerala_P10:Jerala_P2",2418,6044,187,422,98,166,4,9,198.849107942524,-0.030614598943213,0.19031429968133,0.742322102949682,0.890960441683937
"Jerala_P11:Jerala_P2",1720,1686,94,171,162,108,12,7,135.362014893399,-0.0148217376362625,0.190548033443326,0.872668085472824,0.921832484654391
"Jerala_P12:Jerala_P2",3162,3205,175,200,120,152,4,3,146.178425661442,-0.142920664098547,0.211908919238949,0.145261928577778,0.404137248125573
"Jerala_P3:Jerala_P4",1106,1087,11380,70559,79,85,2683,2203,18717.2079213438,8.67516284324749,0.598823614245122,5.38514430748794e-48,1.34628607687198e-46
"Jerala_P3:Jerala_P5",1660,2417,106,147,106,143,39,12,205.120495552385,0.150503381486071,0.254339441141903,0.114835149544018,0.404137248125573
"Jerala_P3:Jerala_P6",1552,1166,95,75,210,192,7,10,135.767224864276,-0.130610690086586,0.236176330729306,0.158473415648927,0.404137248125573
"Jerala_P3:Jerala_P7",1893,1483,537,92,134,162,6,5,164.053196845351,0.0399686500109222,0.206322668480215,0.634688101161201,0.835115922580527
"Jerala_P3:Jerala_P8",2795,1757,1792,89,125,235,26,159,722.746653202393,1.11335551550253,1.44983828118943,0.0109139766708104,0.0744134773009797
"Jerala_P3:Jerala_P9",1690,3530,97,163,77,299,2,19,171.398104266009,-0.113001950901929,0.20295186658141,0.237045609822719,0.469525755538778
"Jerala_P10:Jerala_P3",3994,4536,236,309,94,505,7,59,362.97362202245,0.0259533343752768,0.220847945693308,0.731893335625263,0.890960441683937
"Jerala_P11:Jerala_P3",912,3184,54,572,175,116,5,3,153.616638938947,-0.023098656112037,0.211200590160273,0.772165716126079,0.890960441683937
"Jerala_P12:Jerala_P3",1037,1265,77,75,53,137,0,156,422.807858838951,0.154445741975592,0.489554681280541,0.160826465753222,0.404137248125573
"Jerala_P4:Jerala_P5",4110,1255,229,77,257,100,7,7,160.309997486425,-0.153508496152157,0.205898112784981,0.127462688548597,0.404137248125573
"Jerala_P4:Jerala_P6",1570,1061,97,66,296,184,11,19,174.966923367924,-0.0328135678059691,0.212601523755454,0.681884304384511,0.852355380480639
"Jerala_P4:Jerala_P7",2778,1347,670,88,149,193,7,11,207.479542682985,0.0732056602612464,0.213534856184015,0.393707023085006,0.641913624595119
"Jerala_P4:Jerala_P8",2830,2412,174,169,225,130,6,2,147.697918537504,-0.176313625379521,0.219809284330625,0.0852287355984572,0.376009127640252
"Jerala_P4:Jerala_P9",1438,1269,96,67,128,125,11,7,115.241621769325,-0.0661799646295513,0.198843453049651,0.467147214966076,0.697610886595244
"Jerala_P10:Jerala_P4",4222,3674,2446,219,244,135,30,5,492.621189074045,0.0820427675656405,0.301938819473752,0.308372144142759,0.564095385626999
"Jerala_P11:Jerala_P4",1717,2329,128,351,130,87,16,9,167.046752691709,0.163763021210612,0.214433146330328,0.105052070645303,0.404137248125573
"Jerala_P12:Jerala_P4",1136,2022,15557,117,214,203,6,12,1898.08049977987,0.312671507972534,0.974702640454365,0.137104417173871,0.404137248125573
"Jerala_P5:Jerala_P6",2184,1499,9798,332,220,158,5264,1237,15133.5153934025,6.93930474676226,1.06360064304074,3.51375125286174e-11,4.39218906607718e-10
"Jerala_P5:Jerala_P7",6117,2053,342,107,192,63,8,14,203.167213343968,-0.00288818640992339,0.195359886747259,0.974149050166613,0.974149050166613
"Jerala_P5:Jerala_P8",2363,2825,153,171,202,140,2,5,141.689581656412,-0.192846269217541,0.23654673015257,0.0640148614599178,0.300069663093365
"Jerala_P5:Jerala_P9",2292,3753,143,4194,166,113,8,11,545.070880880855,0.147793483324238,0.460224142607783,0.161654899250229,0.404137248125573
"Jerala_P10:Jerala_P5",5026,3297,270,218,77,234,2,6,182.993319203863,-0.1112222496993,0.221911895410161,0.220383635377826,0.460399447477525
"Jerala_P11:Jerala_P5",1664,3164,89,6665,204,136,36,19,848.004729205704,0.520472152368626,1.04870552043243,0.0381783109584943,0.23861444349059
"Jerala_P12:Jerala_P5",3938,4485,221,274,220,152,6,8,205.920685453876,-0.144895024384158,0.196959833218092,0.152368836100072,0.404137248125573
"Jerala_P6:Jerala_P7",1850,1417,115,95,160,140,5,4,111.939223528739,-0.197691004714181,0.232336082523336,0.0599237242889745,0.299618621444873
"Jerala_P6:Jerala_P8",1720,4016,117,254,105,208,14,14,191.556262713587,0.00831406067309945,0.181024632876291,0.932305148339922,0.953100242767535
"Jerala_P6:Jerala_P9",1299,2971,95,159,163,131,357,6,866.726930970049,0.220560130680784,0.687635345635237,0.134943077042733,0.404137248125573
"Jerala_P10:Jerala_P6",741,4966,44,333,164,256,374,33,1005.27893371441,0.467310481274664,1.07103573980917,0.0572024534092795,0.299618621444873
"Jerala_P11:Jerala_P6",2009,3874,111,272,122,81,14,8,164.629721354219,0.0182494702425418,0.193485210216315,0.840482670551097,0.916516088838653
"Jerala_P12:Jerala_P6",1407,3638,91,242,219,278,11,13,199.372886384489,-0.122844795561334,0.20504433695204,0.202753266162292,0.460399447477525
"Jerala_P7:Jerala_P8",1392,2410,746,18154,92,97,2263,3182,13966.2629396082,7.61034357933665,1.03396957958056,8.29062248498787e-14,1.24359337274818e-12
"Jerala_P7:Jerala_P9",983,4101,56,178,160,186,11,8,156.742720803194,-0.124959367919464,0.221715813805276,0.18087104285887,0.423916506700476
"Jerala_P10:Jerala_P7",1790,1732,110,107,58,294,3,13,138.026703446938,-0.0748908859072065,0.210792909586192,0.389767611673084,0.641913624595119
"Jerala_P11:Jerala_P7",1954,3782,136,382,92,61,5,3,139.010616174128,0.0105992691656134,0.203269919625541,0.899423146386399,0.936899110819166
"Jerala_P12:Jerala_P7",1444,5175,75,265,157,206,6,8,171.892901923607,-0.219561257460207,0.240865432243399,0.0427134345203113,0.246423660694104
"Jerala_P8:Jerala_P9",3173,2754,209,126,50,176,3,17,162.821963987577,-0.00631109649689265,0.202314122571322,0.940392239530634,0.953100242767535
"Jerala_P10:Jerala_P8",3672,11007,228,741,179,187,5,6,295.79579972159,-0.0722446859158868,0.224986554777298,0.380521334061198,0.641913624595119
"Jerala_P11:Jerala_P8",3954,2516,220,199,189,126,12,7,184.408042297212,-0.0633812813304482,0.178220070297277,0.528242079133127,0.72033010790881
"Jerala_P12:Jerala_P8",3632,2890,164,194,292,197,23,6,223.682210293499,-0.120462230214933,0.196429022912339,0.220991734789212,0.460399447477525
"Jerala_P10:Jerala_P9",2408,1733,42353,70229,112,128,2876,4934,28940.4309166428,8.6451110929791,0.292298646156004,1.12903492670813e-192,8.46776195031101e-191
"Jerala_P11:Jerala_P9",2956,835,130,78,153,102,7,4,114.258473383691,-0.141070669994596,0.20939557136813,0.151163594605892,0.404137248125573
"Jerala_P12:Jerala_P9",2564,1442,229,241,259,60,13,2,160.144031410719,0.0575245270968845,0.196789784607193,0.528092191922577,0.72033010790881
"Jerala_P10:Jerala_P11",4496,2542,310,389,213,142,5,3,199.064418912864,-0.016397683550417,0.19413467755161,0.855724695014808,0.916847887515866
"Jerala_P10:Jerala_P12",3496,3535,227,5395,154,201,4,8,671.440686609624,0.115313358055334,0.439860310833339,0.244153392880164,0.469525755538778
"Jerala_P11:Jerala_P12",1351,822,5200,15002,183,121,5374,2719,19633.5358472901,8.1909053809554,0.765247291759849,3.97904621209344e-27,7.46071164767519e-26
"Jerala_P1:Jerala_P1",5,5,11,16,4,4,0,0,3.97857140631771,0.233779190113587,0.699419449519066,0.12115159140355,0.404137248125573
"Jerala_P2:Jerala_P2",23,23,5,8,2,2,1,2,9.00184038603534,1.36872400391616,1.08225822378041,0.00178500234501463,0.0148750195417886
"Jerala_P3:Jerala_P3",1676,1676,2928,4410,51,51,2,3,801.559735347524,3.22867445702324,1.90198611094577,0.00136877733466958,0.0128322875125273
"Jerala_P4:Jerala_P4",5,5,4,5,2,2,0,0,1.57831391192893,0.106201249729195,0.651027643121945,0.465753115677674,0.697610886595244
"Jerala_P5:Jerala_P5",1909,1909,133,201,51,51,1,2,87.3641468283514,0.0176469003108605,0.195658627113774,0.843194801731561,0.916516088838653
"Jerala_P6:Jerala_P6",6,6,2,3,1,1,1,2,7.61975449531936,2.79933614571964,1.19404595402402,0.000340392287057554,0.00364706021847379
"Jerala_P7:Jerala_P7",1508,1508,79,119,68,68,1,2,71.6114781193597,-0.130267219914766,0.17343979337958,0.214568554434221,0.460399447477525
"Jerala_P8:Jerala_P8",6,6,2,3,1,1,0,0,0.895192318799227,0.126456754218935,0.788626332901305,0.483676881372702,0.697610886595244
"Jerala_P12:Jerala_P12",1433,1433,68,102,104,104,1,2,77.7521069756048,-0.319914398336888,0.243012421620284,0.00846652965869412,0.0634989724402059
