"","count_DBDAD_trp1_l61_2mM","count_ADDBD_trp1_l61_2mM","count_DBDAD_his1_l61_2mM","count_ADDBD_his1_l61_2mM","count_DBDAD_trp1_l62_2mM","count_ADDBD_trp1_l62_2mM","count_DBDAD_his1_l62_2mM","count_ADDBD_his1_l62_2mM","count_DBDAD_trp1_l67","count_ADDBD_trp1_l67","count_DBDAD_his1_l67","count_ADDBD_his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P1:Jerala_P2",1356,571,62934,31951,1523,1811,53793,51509,148,76,5223,1339,39602.2556747892,8.71931463354604,0.37895317389442,1.41907997631481e-117,4.61200992302312e-116
"Jerala_P1:Jerala_P3",3068,1615,215,117,4103,3445,210,194,199,202,13,11,328.811077672872,-0.205412729912265,0.225584643422281,0.173318600190501,0.35193970219176
"Jerala_P1:Jerala_P4",1644,2322,129,174,2693,3790,167,209,166,248,15,20,337.089018289273,-0.0527905061593394,0.22524481841774,0.717954866847006,0.79096722618738
"Jerala_P1:Jerala_P5",2895,3203,251,221,5479,3504,289,184,96,161,6,9,330.065798621318,-0.169116717043023,0.224093158262136,0.257581320983774,0.411694952745402
"Jerala_P1:Jerala_P6",4762,2453,381,166,3346,2680,184,152,209,126,27,1,345.297067007655,-0.153951858216432,0.21303787494807,0.297736448826288,0.439837935766107
"Jerala_P1:Jerala_P7",3556,1688,281,122,2158,1340,3621,72,193,47,6,1,694.820421039557,0.230170144871576,0.449492221451567,NA,NA
"Jerala_P1:Jerala_P8",2271,3013,171,238,3075,4876,158,313,202,143,5,4,302.581191474445,-0.27706119113882,0.23292714285497,0.0734377084729451,0.198893793780893
"Jerala_P1:Jerala_P9",2007,2816,951,1140,3525,1977,167,126,115,170,11,21,446.82411801009,0.512618501564064,0.433064773138117,0.0147121419454832,0.068306373318315
"Jerala_P1:Jerala_P10",4838,4259,250,326,5302,5098,289,337,196,192,7,15,438.948336025265,-0.180869848324585,0.227908125401073,0.228321232116965,0.406826789153831
"Jerala_P1:Jerala_P11",2468,1736,144,190,2414,2447,114,188,190,126,17,9,275.32604808213,-0.0858266985314996,0.205487327067795,0.556190031559187,0.698074005708692
"Jerala_P1:Jerala_P12",2808,3432,1334,264,2235,834,136,50,179,192,16,9,373.605193525823,0.124148621061321,0.27009073269081,0.396775717970853,0.537300451418863
"Jerala_P2:Jerala_P3",3980,3416,599,241,2610,4677,141,1749,252,150,7,15,566.475575392926,0.170266292818762,0.320929028566611,0.261184980706466,0.411694952745402
"Jerala_P2:Jerala_P4",2330,2577,211,713,2812,1817,175,102,147,145,97,4,525.333599219531,0.413781588605211,0.506913498460412,NA,NA
"Jerala_P2:Jerala_P5",5504,4294,1073,280,5276,3895,356,255,278,321,32,12,590.232573306441,0.0082509596572957,0.239308469603163,0.954434224058096,0.984608065453813
"Jerala_P2:Jerala_P6",3296,2679,1184,1363,4938,2270,290,149,192,178,2,21,522.554785330038,0.290657754143411,0.375779762489653,0.0924618842084334,0.240400898941927
"Jerala_P2:Jerala_P7",4359,2073,341,117,4089,2149,289,119,109,158,5,8,292.173907361916,-0.193336436406069,0.215894507784572,0.195080842840079,0.362292993845861
"Jerala_P2:Jerala_P8",4395,3599,363,276,2798,3787,180,315,187,228,12,7,373.522581191818,-0.144707502917914,0.193165110337202,0.315724225793752,0.456046103924309
"Jerala_P2:Jerala_P9",1814,2271,138,866,1772,2000,128,106,91,193,5,26,320.858393835819,0.203081337853444,0.251043853540607,0.184091536531074,0.35193970219176
"Jerala_P10:Jerala_P2",3133,5282,253,415,2418,6044,187,422,98,166,4,9,372.364359746077,-0.0825347562153273,0.212389023445063,0.573007242067917,0.702744730838012
"Jerala_P11:Jerala_P2",3345,3909,247,383,1720,1686,94,171,162,108,12,7,281.841075446276,-0.0438983256854892,0.207872701321974,0.763210388905026,0.813256971784045
"Jerala_P12:Jerala_P2",3622,4263,349,289,3162,3205,175,200,120,152,4,3,300.26610710002,-0.220917020383249,0.203629404010277,0.134428800858,0.301305932957585
"Jerala_P3:Jerala_P4",269,1484,11454,79476,1106,1087,11380,70559,79,85,2683,2203,31158.2939518908,8.77161934596696,0.52733390197208,1.45667853694676e-62,3.15613683005131e-61
"Jerala_P3:Jerala_P5",2565,3212,192,230,1660,2417,106,147,106,143,39,12,339.151209979896,0.167389703361408,0.257167343297159,0.266018277158568,0.411694952745402
"Jerala_P3:Jerala_P6",1728,2999,110,230,1552,1166,95,75,210,192,7,10,232.518950023799,-0.295171275778759,0.255886131445405,0.0639971605254943,0.198086449245577
"Jerala_P3:Jerala_P7",2176,1745,141,135,1893,1483,537,92,134,162,6,5,257.032483970029,0.0470717341858957,0.239448750084048,0.745363779151149,0.807477427413744
"Jerala_P3:Jerala_P8",1716,2486,120,189,2795,1757,1792,89,125,235,26,159,936.349995121029,1.45520719119145,1.14934618927794,0.00393524574969171,0.0232537248845419
"Jerala_P3:Jerala_P9",2965,4845,175,308,1690,3530,97,163,77,299,2,19,314.244437883632,-0.300702602720067,0.222583687717172,0.0501911137462435,0.171706441763464
"Jerala_P10:Jerala_P3",3781,6396,256,1021,3994,4536,236,309,94,505,7,59,631.80479561471,0.0533088818953463,0.263745739339206,0.707121411750426,0.79096722618738
"Jerala_P11:Jerala_P3",1641,2653,95,291,912,3184,54,572,175,116,5,3,258.207730538827,-0.0567360210150427,0.242384393060039,0.695344234872214,0.79096722618738
"Jerala_P12:Jerala_P3",1691,3173,116,284,1037,1265,77,75,53,137,0,156,577.57264193115,0.263404825053071,0.474777092193834,NA,NA
"Jerala_P4:Jerala_P5",4121,2329,341,191,4110,1255,229,77,257,100,7,7,294.438392487566,-0.233671305631128,0.196244685615845,0.109383385563506,0.263330372652886
"Jerala_P4:Jerala_P6",4917,1449,347,119,1570,1061,97,66,296,184,11,19,303.630540708243,-0.0919266709998419,0.247752904151723,0.528377262027573,0.686890440635845
"Jerala_P4:Jerala_P7",3106,1048,236,80,2778,1347,670,88,149,193,7,11,314.537558821521,0.0649362306396245,0.27894616654271,NA,NA
"Jerala_P4:Jerala_P8",2262,2153,193,171,2830,2412,174,169,225,130,6,2,247.49510056506,-0.286171057596185,0.207682266967877,0.0559247347567282,0.181755387959367
"Jerala_P4:Jerala_P9",4152,1896,360,102,1438,1269,96,67,128,125,11,7,231.251542035093,-0.176047647128887,0.221473527495967,0.238568930052827,0.406826789153831
"Jerala_P10:Jerala_P4",4647,1905,966,160,4222,3674,2446,219,244,135,30,5,760.571863510996,0.206685108426229,0.365038745528636,NA,NA
"Jerala_P11:Jerala_P4",2266,1747,1524,262,1717,2329,128,351,130,87,16,9,389.439466104642,0.807918284021213,0.496771827254376,0.00200452012195599,0.013029380792714
"Jerala_P12:Jerala_P4",3052,1707,268,113,1136,2022,15557,117,214,203,6,12,2436.64041915468,0.607309698387575,1.0015639898162,NA,NA
"Jerala_P5:Jerala_P6",1203,1663,21659,3625,2184,1499,9798,332,220,158,5264,1237,21217.4690378601,6.88907169695184,0.871786828802499,1.44684298979499e-15,1.56741323894458e-14
"Jerala_P5:Jerala_P7",3083,3027,347,221,6117,2053,342,107,192,63,8,14,347.694452333713,-0.0348386340253658,0.222647828559495,0.811416662906314,0.850678759498555
"Jerala_P5:Jerala_P8",2649,3406,196,243,2363,2825,153,171,202,140,2,5,260.552393476083,-0.35193348471171,0.205397485032225,0.0189552132733327,0.0770055539229141
"Jerala_P5:Jerala_P9",2917,7351,257,450,2292,3753,143,4194,166,113,8,11,836.789852556946,0.224598460959101,0.429717070800761,0.179176613644326,0.35193970219176
"Jerala_P10:Jerala_P5",2038,5595,135,7314,5026,3297,270,218,77,234,2,6,922.255405373025,0.177213075579012,0.437912288994273,NA,NA
"Jerala_P11:Jerala_P5",2945,2224,871,258,1664,3164,89,6665,204,136,36,19,1211.14447684356,1.29856408001996,1.13629909727233,0.00578434179911553,0.0313318514118758
"Jerala_P12:Jerala_P5",3141,3629,283,255,3938,4485,221,274,220,152,6,8,353.656703817156,-0.23122218695996,0.206739089471649,0.11934674001258,0.27705493217206
"Jerala_P6:Jerala_P7",3166,2176,244,157,1850,1417,115,95,160,140,5,4,215.147166155827,-0.333403300003627,0.197079321256731,0.0235079809065386,0.0898834564073535
"Jerala_P6:Jerala_P8",2849,2744,193,259,1720,4016,117,254,105,208,14,14,319.374465612675,-0.0559978571659231,0.193789051150246,0.696927546323856,0.79096722618738
"Jerala_P6:Jerala_P9",1546,3432,2437,196,1299,2971,95,159,163,131,357,6,1365.55190957268,0.528910599327571,0.812814051717441,0.0488461413693435,0.171706441763464
"Jerala_P10:Jerala_P6",2524,5601,159,2544,741,4966,44,333,164,256,374,33,1571.43922858624,1.34561634589858,1.31835464852544,0.00809049329924194,0.0404524664962097
"Jerala_P11:Jerala_P6",2376,2725,196,259,2009,3874,111,272,122,81,14,8,284.415176842079,0.00157517696133735,0.205334468716968,0.991353411722515,0.991353411722515
"Jerala_P12:Jerala_P6",1919,3169,140,220,1407,3638,91,242,219,278,11,13,314.421213281452,-0.253498791750758,0.227642452600766,0.0974818725674755,0.243704681418689
"Jerala_P7:Jerala_P8",2019,2071,3266,29996,1392,2410,746,18154,92,97,2263,3182,20018.7781112029,7.34353348270823,0.822529121314274,2.12162868458763e-19,2.75811728996392e-18
"Jerala_P7:Jerala_P9",2028,2664,141,2462,983,4101,56,178,160,186,11,8,451.30349178308,0.175780916834368,0.316941702985438,NA,NA
"Jerala_P10:Jerala_P7",1334,5186,124,418,1790,1732,110,107,58,294,3,13,268.437521576686,-0.13290989309895,0.225692441819415,0.369878498328193,0.511534093432608
"Jerala_P11:Jerala_P7",2102,1566,1348,478,1954,3782,136,382,92,61,5,3,355.455761298266,0.336675183496015,0.443895613423811,0.0721896294957093,0.198893793780893
"Jerala_P12:Jerala_P7",2541,3227,201,461,1444,5175,75,265,157,206,6,8,313.511864641844,-0.207667713234036,0.206392485322098,0.160369308742328,0.347466835608376
"Jerala_P8:Jerala_P9",3133,4258,260,906,3173,2754,209,126,50,176,3,17,360.184212069048,0.0853407489626952,0.243523675750192,0.558459204566954,0.698074005708692
"Jerala_P10:Jerala_P8",1600,3338,1096,280,3672,11007,228,741,179,187,5,6,518.047473778894,0.055476688485856,0.281943082004593,0.691274801360516,0.79096722618738
"Jerala_P11:Jerala_P8",2190,2400,176,273,3954,2516,220,199,189,126,12,7,302.081795040087,-0.0694227013320077,0.199594803677304,0.631831397355301,0.760537793112862
"Jerala_P12:Jerala_P8",3965,3097,370,217,3632,2890,164,194,292,197,23,6,382.695238446018,-0.198580600874118,0.20801611388237,0.179849161339409,0.35193970219176
"Jerala_P10:Jerala_P9",1339,1561,69496,59826,2408,1733,42353,70229,112,128,2876,4934,46692.0582993845,8.73939528168729,0.27624877109387,4.41795334708531e-220,2.87166967560545e-218
"Jerala_P11:Jerala_P9",2204,2218,137,278,2956,835,130,78,153,102,7,4,212.007552097913,-0.140967454803272,0.218211896977315,0.340972383647457,0.481808802980102
"Jerala_P12:Jerala_P9",3540,2249,219,144,2564,1442,229,241,259,60,13,2,276.985241297534,-0.00558666654154299,0.21539778010072,0.969460249062216,0.984608065453813
"Jerala_P10:Jerala_P11",2959,1520,2000,2162,4496,2542,310,389,213,142,5,3,631.830426224716,0.646464117343505,0.671039519773207,0.0171374664747336,0.0742623547238456
"Jerala_P10:Jerala_P12",7001,3112,604,496,3496,3535,227,5395,154,201,4,8,1027.07681461743,0.274820414662334,0.522230506494059,NA,NA
"Jerala_P11:Jerala_P12",1073,1503,8068,35130,1351,822,5200,15002,183,121,5374,2719,28204.1099075936,8.122316059169,0.678146782011322,1.97075795521922e-33,3.20248167723123e-32
"Jerala_P1:Jerala_P1",14,14,8,10,5,5,11,16,4,4,0,0,6.65471353280847,1.98270065232817,1.01830310823355,0.00069602782833393,0.00502686764907839
"Jerala_P2:Jerala_P2",48,48,9,12,23,23,5,8,2,2,1,2,13.5748000494789,1.19980642512827,0.613720289865004,0.0006705760039951,0.00502686764907839
"Jerala_P3:Jerala_P3",1540,1540,135,176,1676,1676,2928,4410,51,51,2,3,1064.3097377157,3.19208460657403,1.27070006515858,NA,NA
"Jerala_P4:Jerala_P4",9,9,3,4,5,5,4,5,2,2,0,0,2.67056663509035,0.460250211162468,0.797904533651523,0.0690852642776085,0.198893793780893
"Jerala_P5:Jerala_P5",1320,1320,174,227,1909,1909,133,201,51,51,1,2,163.654319374209,0.159028187545944,0.211243529194204,0.281723488775957,0.425861087684587
"Jerala_P6:Jerala_P6",23,23,6,7,6,6,2,3,1,1,1,2,10.7571254765566,1.72786740625154,0.783066515860563,0.000383121467991068,0.00355755648848849
"Jerala_P7:Jerala_P7",1564,1564,123,160,1508,1508,79,119,68,68,1,2,137.974799227104,-0.156772958880269,0.160755569082106,0.23795223295211,0.406826789153831
"Jerala_P8:Jerala_P8",3,3,0,0,6,6,2,3,1,1,0,0,1.1440287583901,0.232592177571028,0.683750073517544,0.244096073492299,0.406826789153831
"Jerala_P12:Jerala_P12",3174,3174,301,392,1433,1433,68,102,104,104,1,2,207.933770556452,-0.105647991915127,0.232660994571378,0.473201005408082,0.627715619418885
